Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.703,137.675,915.42,135.688,842.967,274.718,866.446,415.78,991.816,141.569,946.672,321.765,980.032,505.98,0,0,0,0,0,0,0,0,915.378,556.945,929.087,560.836,1001.59,527.486,791.995,437.423,795.901,431.549,880.159
000000000039,0,0,600.005,5.35653,537.279,5.35779,511.795,47.5331,482.477,108.282,680.351,5.34471,727.258,98.3828,696.042,212.106,603.871,196.384,570.613,194.465,617.597,349.186,668.576,482.461,635.316,198.37,588.182,351.165,586.361,511.826,0,0,0,0,0,0,0,0,533.355,541.225,551.037,545.16,601.9,523.581,613.728,492.254,619.558,488.316,682.309
000000000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.657,141.536,915.383,135.719,842.956,274.773,866.391,415.772,991.795,145.453,946.667,319.91,980.02,505.983,0,0,0,0,0,0,0,0,915.38,556.965,927.185,562.766,999.703,527.505,791.952,439.334,793.998,431.589,878.211
000000000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.654,141.549,915.426,135.712,844.886,272.817,866.388,413.937,989.872,145.475,946.665,319.911,980.022,505.954,0,0,0,0,0,0,0,0,915.377,556.964,927.175,562.759,999.687,527.493,791.946,439.346,793.995,431.593,878.208
000000000042,0,0,599.972,5.35726,537.245,5.35794,509.835,51.4401,478.585,112.173,678.334,5.34898,727.238,98.4541,707.748,214.032,603.853,194.424,570.549,192.48,617.689,351.126,668.541,482.447,637.204,196.389,586.325,351.168,588.216,511.832,0,0,0,0,0,0,0,0,539.262,541.313,556.921,547.105,601.992,523.578,615.646,492.292,619.576,490.219,682.275
000000000043,0,0,599.949,5.3578,535.363,5.35865,509.807,51.4583,478.56,112.163,680.264,5.34993,727.284,98.4811,709.701,214.092,603.937,196.428,570.627,194.486,617.631,349.238,666.706,480.558,637.253,200.325,586.35,351.162,588.167,511.861,0,0,0,0,0,0,0,0,537.308,543.144,554.954,547.128,601.914,523.628,613.71,492.25,617.678,488.31,682.258
000000000044,0,0,599.926,5.35795,537.237,5.3566,507.984,53.327,478.549,112.198,676.392,5.35342,727.292,100.324,711.585,214.09,603.929,196.42,570.608,196.392,615.667,349.178,668.528,482.465,637.276,198.402,586.331,351.205,588.176,513.772,0,0,0,0,0,0,0,0,537.291,543.195,554.947,549.069,601.941,523.646,613.706,492.196,617.679,486.352,682.262
000000000045,0,0,599.945,5.35791,533.368,5.35526,507.974,51.4611,478.519,112.148,676.382,5.35644,727.276,100.382,711.588,217.953,603.849,196.389,568.662,194.487,611.75,347.237,666.703,480.54,637.232,198.361,586.307,351.218,588.186,513.811,0,0,0,0,0,0,0,0,535.361,543.174,554.934,549.057,601.933,525.481,613.691,492.281,617.648,488.323,682.251
000000000046,0,0,599.961,5.35756,535.299,5.35494,507.968,49.4941,478.514,112.125,680.268,5.35323,727.233,100.373,711.591,217.995,601.981,194.476,566.714,192.513,603.888,347.222,666.621,478.591,637.19,198.358,586.318,351.23,588.202,513.773,0,0,0,0,0,0,0,0,535.318,543.224,554.903,550.99,601.96,523.649,611.741,492.214,617.574,484.438,682.215
000000000047,0,0,599.955,5.35761,535.355,5.35606,507.987,45.583,478.487,110.187,680.251,5.35374,725.378,98.4063,711.563,216.019,601.946,194.456,564.72,192.495,588.267,345.323,664.714,478.476,637.244,196.445,588.295,353.078,588.208,511.875,0,0,0,0,0,0,0,0,531.445,543.226,552.975,551.01,601.961,523.634,611.765,492.244,617.565,484.439,680.367
000000000048,0,0,599.985,5.35721,537.248,5.35775,509.817,41.7014,478.46,110.181,680.34,5.34671,725.366,98.4713,709.651,217.935,598.027,196.421,556.974,194.411,568.648,347.251,662.719,474.59,635.273,200.353,592.153,353.099,588.2,513.787,0,0,0,0,0,0,0,0,531.425,543.188,552.951,550.984,601.951,525.485,611.713,494.241,615.656,488.344,680.245
