Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
53,787.022,244.921,848.168,237.081,859.114,320.118,960.924,345.154,1105.05,370.284,855.904,169.67,995.427,144.735,1114.48,122.688,1059.65,259.011,1053.36,291.899,0,0,0,0,0,0,0,0,0,0,771.381,263.742,769.844,232.316,779.191,285.651,777.63,202.595,0,0,0,0,0,0,0,0,0,0,0,0
54,785.472,244.913,848.145,238.653,859.111,318.589,945.253,345.21,1106.62,370.317,854.396,169.677,995.366,144.615,1120.69,118.036,1058.07,257.449,1045.54,293.465,0,0,0,0,1064.33,238.627,0,0,0,0,771.371,262.179,769.831,230.877,776.058,284.064,776.059,204.163,0,0,0,0,0,0,0,0,0,0,0,0
55,785.422,244.897,848.167,238.646,859.092,318.517,976.586,345.164,1109.76,371.791,855.952,168.18,996.928,143.067,1114.48,116.381,1062.76,263.712,1047.07,295.065,0,0,0,0,0,0,0,0,0,0,771.364,263.698,771.311,232.333,780.72,282.556,777.626,205.737,0,0,0,0,0,0,0,0,0,0,0,0
56,785.445,244.841,851.25,240.203,859.144,320.09,951.525,346.753,1109.78,373.389,857.561,168.124,998.509,141.523,1120.69,107.108,1056.48,255.862,1045.53,291.926,0,0,0,0,1072.16,196.345,1159.89,193.224,0,0,772.954,262.129,771.358,230.86,782.341,285.676,777.596,205.687,0,0,0,0,0,0,0,0,0,0,0,0
57,787.041,244.953,857.483,237.087,868.466,323.27,970.316,346.797,1111.34,374.963,860.643,168.15,998.577,139.966,1120.78,105.503,1058.08,259.033,1043.96,296.618,0,0,0,0,0,0,0,0,0,0,777.607,266.804,772.955,232.397,785.449,288.772,777.629,204.134,0,0,0,0,0,0,0,0,0,0,0,0
58,793.261,244.978,859.045,241.744,871.592,327.936,973.453,351.466,0,0,862.211,168.181,998.555,141.517,1122.37,103.917,1069.04,254.322,1053.35,291.923,0,0,0,0,1084.69,194.803,1180.26,197.897,0,0,780.742,268.36,777.604,232.423,786.999,293.47,780.741,207.269,0,0,0,0,0,0,0,0,0,0,0,0
59,794.826,251.167,860.629,243.312,873.214,326.393,970.319,356.168,0,0,868.479,169.73,1004.79,141.494,1127.02,103.9,1051.79,262.139,1028.3,304.449,1069.02,359.279,1133.29,381.154,0,0,0,0,0,0,782.353,268.442,780.705,237.08,785.452,295.014,783.947,208.866,0,0,0,0,0,0,1194.36,368.705,0,0,1144.22,381.248
60,796.378,255.799,862.232,244.877,881.02,331.093,978.157,359.266,0,0,870.008,171.257,1009.5,141.49,1131.7,103.908,1056.49,265.292,1036.12,307.571,0,0,0,0,1081.55,230.819,0,0,0,0,783.852,270.046,782.268,241.784,788.59,296.631,785.469,210.42,0,0,0,0,0,0,0,0,0,0,0,0
61,796.359,255.916,863.777,244.938,884.141,334.239,996.966,357.761,1007.91,345.197,870.017,172.866,1009.53,144.586,1133.32,105.483,1047.09,268.426,1034.55,302.896,0,0,0,0,0,0,0,0,0,0,783.813,273.148,780.76,243.389,785.44,301.286,786.998,212.008,0,0,0,0,0,0,0,0,0,0,0,0
62,794.895,259.012,860.68,246.495,876.303,332.696,971.881,365.571,1083.14,382.747,868.475,179.086,1015.77,146.192,1145.74,107.044,1056.5,273.133,1043.95,309.145,0,0,0,0,1078.43,241.769,0,0,0,0,780.764,280.899,780.7,244.912,785.456,304.471,782.33,216.71,0,0,0,0,0,0,0,0,0,0,0,0
